Title,Company,Location,Salary,Description
React Native Developer,Potentia,Auckland,NZD95 per hour,Build new mobile products using your React Native talents and engineering capability.,https://www.seek.co.nz/job/51484280
React Native Developer / $140k neg,Enterprise Technology Recruitment Ltd,Auckland,"$130,000 - $139,999",Join a mature Kiwi start-up that has established itself internationally. They offer seriously interesting projects and excellent career development.,https://www.seek.co.nz/job/51505469
Senior Developer (React),Potentia,Auckland,NZD95 - NZD115 per hour,"Great 6 month contract starting ASAP, get in quick!",https://www.seek.co.nz/job/51429234
Contract React Native Developer,Halo Consulting Ltd,Auckland,N/A,"Contract role working on enterprise React Native development! Fantastic company with an awesome culture and fun, supportive environment!",https://www.seek.co.nz/job/51515624
Senior Full Stack Developer,DDB,Auckland,N/A,DDB is looking for a Senior Full Stack Developer to join their award-winning team.,https://www.seek.co.nz/job/51599043
UI Developer,Adept Group,Auckland,N/A,Great opportunity to demonstrate your UI/UX dev skills while working on exciting projects and mentoring those around you. Curious? Have a look!,https://www.seek.co.nz/job/51496892
Senior Full Stack Engineer,realityvirtual.co,Auckland,$75 - $100+ per hour based on experience.,Senior Front-end / Full Stack Developer. Contract / Full Time. Immediate. React / Redux / TypeScript / GraphQL,https://www.seek.co.nz/job/51486421
Front End (UI) Developer,Fusion Networks Ltd,Auckland,N/A,New role for a creative Front End Developer with an eye for design to join our talented development team. Fusion is an innovative NZ tech company.,https://www.seek.co.nz/job/51399054
Full Stack Developer - React/.Net,TSG,Auckland,N/A,Use your full stack .Net/React experience at one of New Zealand's fastest growing tech companies,https://www.seek.co.nz/job/51507569
Developer - Fullstack,Woolworths NZ Ltd,Auckland,N/A,Showcase your Fullstack Development skills. Diverse projects - great team. Huge scope for learning and career development!,https://www.seek.co.nz/job/51562035
Senior Front End Developer,Crew Consulting,Auckland,Contact us to find out,Short contract opportunity for a Front End Developer to help an organization that builds excellent products that make a difference to their industry,https://www.seek.co.nz/job/51511413
"Senior Developer (Permanent - C#, React, JS, SQL)",Nintex,Auckland,!! Competitive Salary on Offer !!,Join the world leader in Process Management and Automation to solve technical challenges and drive quality within your squad,https://www.seek.co.nz/job/51491745
React Native Developer,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,Auckland,N/A,React Native Developer | Permanent | Auckland,https://www.seek.co.nz/job/51578787
"Remote Developer - .Net, React, AWS",Halo Consulting Ltd,Auckland,N/A,Join New Zealand's leading SaaS-based organisation and take on this opportunity to work within their remote team!,https://www.seek.co.nz/job/51602612
Back End Developer,Halo Consulting Ltd,Auckland,Paying a great salary - start-up in growth mode,We're looking for a Senior Developer looking to take the next step in their career!,https://www.seek.co.nz/job/51586286
Senior Front End Engineer,Platinum Recruitment Limited,Auckland,N/A,Join a fast-growing company delivering SaaS to customers globally. 5+ years' front-end experience and an expert with Vue.JS or React? Apply now!,https://www.seek.co.nz/job/51441692
Senior Full Stack Developer,Crew Consulting,Auckland,"up to $130,000","Enjoy working for a well-established company with career progression,  working on leading edge technology - an employer of choice!. REMOTE (NZ) option",https://www.seek.co.nz/job/51637170
Developer Evangelist,Presto Resourcing,Auckland,N/A,"Opportunities like this don't come around often, be responsible for building a critical mass of dev support, a leader in the world of digital trust",https://www.seek.co.nz/job/51631183
Mobile Developer,Finite920,Auckland,N/A,"Native development, Swift, Objective-c, Kotlin, Java, React Native development (Typescript / JavaScript), Firebase, AppCenter / Testflight",https://www.seek.co.nz/job/51599945
Intermediate Software Engineer,Orion Health,Auckland,N/A,We have an opening for an Intermediate Software Engineer to collaborate with our team and help us to build integration applications,https://www.seek.co.nz/job/51589556
Lead/Snr Front End Developer,Hudson - Technology and Digital,Auckland,Up to $135000.00 p.a.,Permanent role opportunity for a Snr/Lead Front End React Developer to join an established start-up company that is looking to scale up.,https://www.seek.co.nz/job/51450183
Contract Senior Developers x 3 (12 months),Yudoozy,Auckland,N/A,"1 x React Dev, 1 x Rust Dev and 1 x Node Dev. 6-12mth developing an app for amazing innovative company in AKL. 50/50 working from home/office option.",https://www.seek.co.nz/job/51495037
Graduate Developer,Advanced Learning Limited,Auckland,"$50,000 - $65000",Graduate Developer wanted for a demanding and exciting role.,https://www.seek.co.nz/job/51572530
Senior Frontend Engineer,Rush Digital,Auckland,N/A,"Be a part of our Frictionless Commerce Tribe, working on high profile design-centric mobile applications.",https://www.seek.co.nz/job/51429554
Developer / Technical Consultant - GIS SaaS,DWS Limited,Auckland,"up to $130,000","Ideal for a developer or product specialist familiar with GIS, SaaS, Azure and enjoys working directly with clients. Work remotely from anywhere in NZ",https://www.seek.co.nz/job/51622705
Intermediate Frontend Developer: $75-90K,Advanced Learning Limited,Auckland,"$75,000 - $90,000",Have a passion for technology and like to be challenged? This could be you.,https://www.seek.co.nz/job/51409236
Senior Full Stack Developer,RWA People - Connecting ITpeople with outstanding jobs,Auckland,N/A,Exciting contract opportunity for a Senior Full Stack Developer to join a dynamic team in a growing organisation,https://www.seek.co.nz/job/51550815
Intermediate/Senior Full-Stack Developer,become,Auckland,N/A,Be a part of a well established creative and digital agency,https://www.seek.co.nz/job/51530572
FullStack Developer,Talent – Winner SEEK Large Recruitment Agency of the Year 2019,Auckland,N/A,Great opportunity to join a SaaS product company in an exciting stage of growth!,https://www.seek.co.nz/job/51450769
Backend Software Engineer,TheMarket,Auckland,N/A,We are looking for a NodeJS platform engineer to join our world-class tech department. Greenfields projects with massive public exposure,https://www.seek.co.nz/job/51450366
Senior Software Developer,TaxLab Limited,Auckland,N/A,"Senior Web Developer with solid commercial experience wanted. Angular, C#, Web-API and TDD advantageous.",https://www.seek.co.nz/job/51636367
Senior Full Stack Developer,Lexel Systems,Auckland,N/A,Innovative NZ tech solution provider seeks  Senior full stack dev to enhance an existing platform and take it next level. Exciting role.,https://www.seek.co.nz/job/51508335
Full stack Developer,NES Fircroft,Auckland,N/A,Opportunity to join a unique startup team who operates within the forefront of technology.,https://www.seek.co.nz/job/51391207
Backend Developer,Roam,Auckland,N/A,"Roam is looking for an experienced Backend Developer with a passion for quality, a passion for client relationships, and a passion for everything .js",https://www.seek.co.nz/job/51495309
Contract React Native Developer,Recruit IT - Your IT Career and Contract Specialists,Auckland,Market hourly rates,Excellent 6 month contract opportunity for a React Native Developer to work on new functionality for a customer facing portal.,https://www.seek.co.nz/job/51461185
Full Stack Developer (Kentico CMS),The Digital Bakery,Auckland,N/A,"Senior Full Stack Developer, central Auckland location commencing ASAP. Join an existing team creating websites and apps.",https://www.seek.co.nz/job/51483116
Intermediate Software Developer,N/A,Auckland,N/A,"Are you a smart, ambitious Intermediate Software Developer who wants to join a business on an exciting growth journey.   If you are, apply now!",https://www.seek.co.nz/job/51528269
Intermediate Software Engineer,Orion Health,Auckland,N/A,Orion Health are searching for an Intermediate Software Engineer to join their clinical portals team in Auckland.,https://www.seek.co.nz/job/51589704
Senior Dataflex Developer,eAccounts Global Limited,Auckland,N/A,Great opportunity to grow your career!,https://www.seek.co.nz/job/51585088
Intermediate Software Developer,Titanium Solutions Ltd,Auckland,N/A,We are looking for a talented and motivated software developer to join our dynamic team on Auckland's North Shore,https://www.seek.co.nz/job/51635879
Senior Angular Developer,40 Foot Consulting Limited,Auckland,N/A,An awesome new opportunity to join a fast-growing technology company building innovative solutions using machine learning and AI powered technology.,https://www.seek.co.nz/job/51586962
Unity Developer,Waxeye,Auckland,N/A,"Apply your Game Dev skills to create AR, VR, MR, WebGL, mobile & tablet projects as part of a dynamic Auckland studio!",https://www.seek.co.nz/job/51609215
Senior Full Stack Developer x 5,Presto Resourcing,Auckland,Negotiable to $140k,We have an awesome opportunity for a number of full stack developers to join our clients Auckland central based development team,https://www.seek.co.nz/job/51534563
Web Services Guru - Fixed Term,OCG Consulting Ltd,Auckland,N/A,Web Services - Support I Development I Administration - ASAP!,https://www.seek.co.nz/job/51603703
Senior Software Developer,Robert Walters,Auckland,N/A,An exciting opportunity to join a world-class team as a Senior Software Developer across their device-based software stack.,https://www.seek.co.nz/job/51591536
Full-Stack Developer (REACT/Ruby),Talent Army,Auckland,N/A,"Do you want to work with one of NZ's best SaaS companies, with the ability to work remotely throughout NZ?",https://www.seek.co.nz/job/51439447
Senior JavaScript Developer,BrightSpark Recruitment,Auckland,$110-125K,Senior developer role within a SaaS startup taking their industry by storm,https://www.seek.co.nz/job/51554237
Web Development and Software Development Tutor,ATC New Zealand,Auckland,N/A,We are looking for a Part-time Web and Software Development tutor for our East Tamaki Based programme.,https://www.seek.co.nz/job/51471339
SEO Specialist / web Developer - wordpress,Response Plumbing Ltd,Auckland,N/A,SEO / Web developer Needed - working from the comfort of your own home,https://www.seek.co.nz/job/51544299
Full Stack Developer - Scientific research software,Biomatters Limited,Auckland,N/A,"Help us accelerate biotech research with great software. All experience levels, tech: Java, Scala, TypeScript. Biology knowledge not required.",https://www.seek.co.nz/job/51410429
Fullstack Developer - Microsoft,SGB Consulting Limited,Auckland,N/A,"Please send your cvs to sgdigital@sgbconsulting.co.nz
Only people with valid visa need to apply",https://www.seek.co.nz/job/51404790
Front-end Developer - Angular,Absolute IT Limited,Auckland,N/A,An exciting opportunity for an Angular Developer to join a close-knit team within this award winning start-up who are looking to expand.,https://www.seek.co.nz/job/51592478
Senior Backend Developer,Rush Digital,Auckland,N/A,Join the team designing the technology that better serves humankind,https://www.seek.co.nz/job/51543778
Senior Developer,APLYiD,Auckland,N/A,Senior Developer Role for one of the fastest growing industries and companies in NZ,https://www.seek.co.nz/job/51493014
